,date,dayofweek,goals_against,possession,round,xg_for,captain,goals_for,opponent,match_report,referee,venue,attendance,xg_against,result,formation
0,2017-08-20,Sun,0,50,Matchweek 1,1.2,Jorge Morcillo,1,Gimnàstic,Match Report,Oliver De La Fuente,Away,"5,861",2.1,W,4-4-1-1
1,2017-08-26,Sat,1,55,Matchweek 2,0.5,Jorge Morcillo,1,Oviedo,Match Report,Eduardo Prieto,Home,"6,878",1.4,D,4-4-1-1
2,2017-09-02,Sat,1,62,Matchweek 3,0.8,Jorge Morcillo,0,Numancia,Match Report,Rubén Eiriz,Away,"2,274",2.4,L,4-4-1-1
3,2017-09-09,Sat,1,54,Matchweek 4,1.0,Jorge Morcillo,2,Lorca FC,Match Report,Isidro Díaz de Mera,Home,"7,354",0.6,W,4-3-3
4,2017-09-16,Sat,2,46,Matchweek 5,0.9,Jorge Morcillo,1,Osasuna,Match Report,Santiago Varón,Away,"13,773",1.2,L,4-3-3
5,2017-09-22,Fri,0,55,Matchweek 6,2.4,Jorge Morcillo,3,Sevilla B,Match Report,Jorge Valdés Aller,Home,"7,306",0.9,W,4-3-3
6,2017-09-29,Fri,0,56,Matchweek 7,0.6,Jorge Morcillo,0,Leonesa,Match Report,Aitor Gorostegui,Away,"7,349",0.9,D,4-3-3
7,2017-10-07,Sat,3,57,Matchweek 8,0.4,Joaquín Fernández,0,Huesca,Match Report,Saúl Ais,Home,"7,226",2.6,L,4-3-3
8,2017-10-12,Thu,1,38,Matchweek 9,0.2,Jorge Morcillo,0,Rayo Vallecano,Match Report,Juan Pulido,Away,"8,615",2.1,L,4-2-3-1
9,2017-10-15,Sun,1,43,Matchweek 10,1.0,Joaquín Fernández,1,Valladolid,Match Report,Iñaki Bikandi,Home,"7,260",1.3,D,4-3-3
10,2017-10-22,Sun,1,63,Matchweek 11,0.6,Joaquín Fernández,0,Reus,Match Report,Gorka Sagues,Home,"10,473",0.2,L,4-4-2
11,2017-10-28,Sat,2,58,Matchweek 12,1.0,Joaquín Fernández,0,Sporting Gijón,Match Report,Eduardo Prieto,Away,"20,987",0.6,L,4-4-2
12,2017-11-05,Sun,2,64,Matchweek 13,0.5,Joaquín Fernández,0,Cádiz,Match Report,Dámaso Arcediano,Home,"6,961",1.5,L,4-4-2
13,2017-11-11,Sat,2,51,Matchweek 14,0.3,Jorge Morcillo,0,Albacete,Match Report,Álvaro Moreno,Away,"6,712",1.2,L,4-2-3-1
14,2017-11-17,Fri,0,38,Matchweek 15,0.6,Jorge Morcillo,3,Zaragoza,Match Report,Daniel Ocón,Home,"5,209",0.4,W,4-4-2
15,2017-11-26,Sun,1,35,Matchweek 16,1.2,Rubén Alcaraz,1,Barcelona B,Match Report,Adrián Cordero,Away,"2,124",1.1,D,4-4-2
16,2017-12-03,Sun,1,38,Matchweek 17,2.3,Rubén Alcaraz,2,Tenerife,Match Report,David Pérez,Home,"5,795",2.1,W,4-4-2
17,2017-12-08,Fri,3,38,Matchweek 18,1.2,Jorge Morcillo,2,Granada,Match Report,José López,Away,"12,577",1.6,L,4-4-2
18,2017-12-16,Sat,0,36,Matchweek 19,1.6,Jorge Morcillo,1,Córdoba,Match Report,Aitor Gorostegui,Home,"5,166",0.6,W,4-4-2
19,2017-12-22,Fri,2,46,Matchweek 20,0.3,Jorge Morcillo,0,Alcorcón,Match Report,Dámaso Arcediano,Away,"1,796",1.7,L,4-2-3-1
20,2018-01-07,Sun,0,47,Matchweek 21,1.1,Jorge Morcillo,1,Lugo,Match Report,Víctor Areces,Home,"4,928",2.2,W,4-1-4-1
21,2018-01-13,Sat,1,46,Matchweek 22,1.7,Joaquín Fernández,1,Gimnàstic,Match Report,Valentín Pizarro,Home,"6,046",1.1,D,4-3-3
22,2018-01-20,Sat,2,41,Matchweek 23,0.9,Joaquín Fernández,1,Oviedo,Match Report,Isidro Díaz de Mera,Away,"15,144",2.0,L,4-2-3-1
23,2018-01-28,Sun,0,40,Matchweek 24,0.5,Joaquín Fernández,0,Numancia,Match Report,Adrián Cordero,Home,"5,177",0.8,D,4-4-2
24,2018-02-03,Sat,1,50,Matchweek 25,0.4,Joaquín Fernández,2,Lorca FC,Match Report,David Pérez,Away,"4,982",2.2,W,4-3-3
25,2018-02-10,Sat,1,42,Matchweek 26,0.3,Joaquín Fernández,0,Osasuna,Match Report,Santiago Varón,Home,"5,477",0.8,L,4-2-3-1
26,2018-02-18,Sun,0,47,Matchweek 27,2.1,Joaquín Fernández,3,Sevilla B,Match Report,Víctor Areces,Away,993,1.2,W,4-4-2
27,2018-02-24,Sat,1,37,Matchweek 28,1.7,Jorge Morcillo,2,Leonesa,Match Report,Rubén Eiriz,Home,"7,024",2.3,W,4-4-2
28,2018-03-04,Sun,2,35,Matchweek 29,1.8,Jorge Morcillo,2,Huesca,Match Report,Aitor Gorostegui,Away,"4,572",0.3,D,4-4-2
29,2018-03-10,Sat,1,46,Matchweek 30,0.7,Jorge Morcillo,0,Rayo Vallecano,Match Report,David Pérez,Home,"7,130",0.9,L,4-4-2
30,2018-03-18,Sun,2,42,Matchweek 31,0.7,Jorge Morcillo,1,Valladolid,Match Report,Saúl Ais,Away,"11,617",1.8,L,3-4-3
31,2018-03-24,Sat,1,56,Matchweek 32,1.8,Jorge Morcillo,0,Reus,Match Report,Jorge Valdés Aller,Away,"3,420",1.8,L,3-4-3
32,2018-04-01,Sun,3,54,Matchweek 33,2.1,Jorge Morcillo,1,Sporting Gijón,Match Report,Isidro Díaz de Mera,Home,"7,501",2.0,L,4-3-3
33,2018-04-06,Fri,0,35,Matchweek 34,0.1,Jorge Morcillo,0,Cádiz,Match Report,Gorka Sagues,Away,"13,523",1.0,D,4-4-2
34,2018-04-15,Sun,1,65,Matchweek 35,1.2,Verza,1,Albacete,Match Report,Juan Pulido,Home,"6,876",0.9,D,4-2-3-1
35,2018-04-21,Sat,2,38,Matchweek 36,0.2,Jorge Morcillo,1,Zaragoza,Match Report,Daniel Ocón,Away,"20,706",2.1,L,4-2-3-1
36,2018-04-28,Sat,0,32,Matchweek 37,1.7,Joaquín Fernández,1,Barcelona B,Match Report,Víctor Areces,Home,"10,422",0.9,W,4-2-3-1
37,2018-05-05,Sat,0,40,Matchweek 38,1.5,Joaquín Fernández,0,Tenerife,Match Report,Santiago Varón,Away,"11,378",1.2,D,4-2-3-1
