,date,possession,captain,match_report,attendance,formation,opponent,round,dayofweek,goals_against,xg_against,referee,goals_for,venue,xg_for,result
0,2017-08-20,64,Markel Susaeta,Match Report,"37,884",4-2-3-1,Getafe,Matchweek 1,Sun,0,0.5,Mario Melero,0,Home,1.2,D
1,2017-08-27,44,Mikel San José,Match Report,"5,932",4-2-3-1,Eibar,Matchweek 2,Sun,0,1.2,José Sánchez,1,Away,1.1,W
2,2017-09-10,49,Iker Muniain,Match Report,"39,952",4-2-3-1,Girona,Matchweek 3,Sun,0,0.4,Daniel Trujillo,2,Home,1.6,W
3,2017-09-17,45,Markel Susaeta,Match Report,"19,213",4-2-3-1,Las Palmas,Matchweek 4,Sun,1,1.0,Pablo González,0,Away,1.2,L
4,2017-09-20,56,Markel Susaeta,Match Report,"43,381",4-2-3-1,Atlético Madrid,Matchweek 5,Wed,2,2.2,Javier Estrada,1,Home,2.0,L
5,2017-09-23,54,Iker Muniain,Match Report,"23,425",4-2-3-1,Málaga,Matchweek 6,Sat,3,2.2,Carlos del Cerro,3,Away,1.9,D
6,2017-10-01,60,Markel Susaeta,Match Report,"42,070",4-2-3-1,Valencia,Matchweek 7,Sun,3,2.6,Alejandro Hernández,2,Away,2.2,L
7,2017-10-14,42,Markel Susaeta,Match Report,"40,197",4-1-4-1,Sevilla,Matchweek 8,Sat,0,2.3,Ignacio Iglesias,1,Home,1.2,W
8,2017-10-22,60,Mikel San José,Match Report,"11,454",4-2-3-1,Leganés,Matchweek 9,Sun,1,1.1,Antonio Matéu Lahoz,0,Away,0.7,L
9,2017-10-28,40,Ander Iturraspe,Match Report,"43,570",4-2-3-1,Barcelona,Matchweek 10,Sat,2,2.7,Juan Martínez,0,Home,1.1,L
10,2017-11-05,51,Markel Susaeta,Match Report,"19,779",4-2-3-1,Celta Vigo,Matchweek 11,Sun,3,1.0,Jesús Gil,1,Away,0.9,L
11,2017-11-19,47,Ander Iturraspe,Match Report,"36,666",4-2-3-1,Villarreal,Matchweek 12,Sun,1,1.4,David Medié,1,Home,1.0,D
12,2017-11-26,49,Markel Susaeta,Match Report,"20,879",4-2-3-1,La Coruña,Matchweek 13,Sun,2,1.8,José González,2,Away,1.7,D
13,2017-12-02,36,Markel Susaeta,Match Report,"44,884",4-2-3-1,Real Madrid,Matchweek 14,Sat,0,1.6,Antonio Matéu Lahoz,0,Home,1.2,D
14,2017-12-10,40,Markel Susaeta,Match Report,"18,005",4-2-3-1,Levante,Matchweek 15,Sun,1,0.7,Javier Estrada,2,Away,2.0,W
15,2017-12-16,39,Markel Susaeta,Match Report,"45,504",4-4-1-1,Real Sociedad,Matchweek 16,Sat,0,0.5,David Fernández,0,Home,0.7,D
16,2017-12-22,48,Markel Susaeta,Match Report,"42,713",4-2-3-1,Betis,Matchweek 17,Fri,0,1.2,Juan Martínez,2,Away,2.8,W
17,2018-01-07,59,Markel Susaeta,Match Report,"41,000",4-2-3-1,Alavés,Matchweek 18,Sun,0,0.3,Pablo González,2,Home,1.9,W
18,2018-01-14,55,Markel Susaeta,Match Report,"20,228",4-2-3-1,Espanyol,Matchweek 19,Sun,1,0.6,Daniel Trujillo,1,Away,1.2,D
19,2018-01-19,49,Markel Susaeta,Match Report,"11,457",4-2-3-1,Getafe,Matchweek 20,Fri,2,3.9,Jesús Gil,2,Away,1.4,D
20,2018-01-26,44,Markel Susaeta,Match Report,"39,331",4-2-3-1,Eibar,Matchweek 21,Fri,1,0.6,Mario Melero,1,Home,1.3,D
21,2018-02-04,61,Ander Iturraspe,Match Report,"9,602",5-3-2,Girona,Matchweek 22,Sun,2,2.5,José Munuera,0,Away,0.4,L
22,2018-02-09,54,Markel Susaeta,Match Report,"33,679",4-2-3-1,Las Palmas,Matchweek 23,Fri,0,0.4,Javier Estrada,0,Home,0.7,D
23,2018-02-18,42,Markel Susaeta,Match Report,"60,022",4-1-4-1,Atlético Madrid,Matchweek 24,Sun,2,1.4,José González,0,Away,0.3,L
24,2018-02-25,59,Markel Susaeta,Match Report,"37,518",4-2-3-1,Málaga,Matchweek 25,Sun,1,1.7,Alejandro Hernández,2,Home,0.7,W
25,2018-02-28,48,Markel Susaeta,Match Report,"34,382",4-2-3-1,Valencia,Matchweek 26,Wed,1,0.2,Jesús Gil,1,Home,1.8,D
26,2018-03-03,51,Markel Susaeta,Match Report,"25,185",4-2-3-1,Sevilla,Matchweek 27,Sat,2,2.3,Alberto Undiano,0,Away,0.7,L
27,2018-03-11,44,Markel Susaeta,Match Report,"30,787",4-2-3-1,Leganés,Matchweek 28,Sun,0,1.0,José Sánchez,2,Home,0.9,W
28,2018-03-18,41,Markel Susaeta,Match Report,"84,053",4-2-3-1,Barcelona,Matchweek 29,Sun,2,2.4,Santiago Jaime,0,Away,0.7,L
29,2018-03-31,45,Markel Susaeta,Match Report,"33,657",4-2-3-1,Celta Vigo,Matchweek 30,Sat,1,0.5,Carlos del Cerro,1,Home,1.7,D
30,2018-04-09,51,Markel Susaeta,Match Report,"14,879",4-2-3-1,Villarreal,Matchweek 31,Mon,1,0.6,Ignacio Iglesias,3,Away,3.4,W
31,2018-04-14,60,Markel Susaeta,Match Report,"37,715",4-2-3-1,La Coruña,Matchweek 32,Sat,3,1.0,José González,2,Home,0.8,L
