,date,dayofweek,goals_for,xg_against,possession,goals_against,attendance,venue,opponent,round,formation,captain,match_report,result,referee,xg_for
0,2017-08-20,Sun,0,0.5,64,0,"37,884",Home,Getafe,Matchweek 1,4-2-3-1,Markel Susaeta,Match Report,D,Mario Melero,1.2
1,2017-08-27,Sun,1,1.2,44,0,"5,932",Away,Eibar,Matchweek 2,4-2-3-1,Mikel San José,Match Report,W,José Sánchez,1.1
2,2017-09-10,Sun,2,0.4,49,0,"39,952",Home,Girona,Matchweek 3,4-2-3-1,Iker Muniain,Match Report,W,Daniel Trujillo,1.6
3,2017-09-17,Sun,0,1.0,45,1,"19,213",Away,Las Palmas,Matchweek 4,4-2-3-1,Markel Susaeta,Match Report,L,Pablo González,1.2
4,2017-09-20,Wed,1,2.2,56,2,"43,381",Home,Atlético Madrid,Matchweek 5,4-2-3-1,Markel Susaeta,Match Report,L,Javier Estrada,2.0
5,2017-09-23,Sat,3,2.2,54,3,"23,425",Away,Málaga,Matchweek 6,4-2-3-1,Iker Muniain,Match Report,D,Carlos del Cerro,1.9
6,2017-10-01,Sun,2,2.6,60,3,"42,070",Away,Valencia,Matchweek 7,4-2-3-1,Markel Susaeta,Match Report,L,Alejandro Hernández,2.2
7,2017-10-14,Sat,1,2.3,42,0,"40,197",Home,Sevilla,Matchweek 8,4-1-4-1,Markel Susaeta,Match Report,W,Ignacio Iglesias,1.2
8,2017-10-22,Sun,0,1.1,60,1,"11,454",Away,Leganés,Matchweek 9,4-2-3-1,Mikel San José,Match Report,L,Antonio Matéu Lahoz,0.7
9,2017-10-28,Sat,0,2.7,40,2,"43,570",Home,Barcelona,Matchweek 10,4-2-3-1,Ander Iturraspe,Match Report,L,Juan Martínez,1.1
10,2017-11-05,Sun,1,1.0,51,3,"19,779",Away,Celta Vigo,Matchweek 11,4-2-3-1,Markel Susaeta,Match Report,L,Jesús Gil,0.9
11,2017-11-19,Sun,1,1.4,47,1,"36,666",Home,Villarreal,Matchweek 12,4-2-3-1,Ander Iturraspe,Match Report,D,David Medié,1.0
12,2017-11-26,Sun,2,1.8,49,2,"20,879",Away,La Coruña,Matchweek 13,4-2-3-1,Markel Susaeta,Match Report,D,José González,1.7
13,2017-12-02,Sat,0,1.6,36,0,"44,884",Home,Real Madrid,Matchweek 14,4-2-3-1,Markel Susaeta,Match Report,D,Antonio Matéu Lahoz,1.2
14,2017-12-10,Sun,2,0.7,40,1,"18,005",Away,Levante,Matchweek 15,4-2-3-1,Markel Susaeta,Match Report,W,Javier Estrada,2.0
15,2017-12-16,Sat,0,0.5,39,0,"45,504",Home,Real Sociedad,Matchweek 16,4-4-1-1,Markel Susaeta,Match Report,D,David Fernández,0.7
16,2017-12-22,Fri,2,1.2,48,0,"42,713",Away,Betis,Matchweek 17,4-2-3-1,Markel Susaeta,Match Report,W,Juan Martínez,2.8
17,2018-01-07,Sun,2,0.3,59,0,"41,000",Home,Alavés,Matchweek 18,4-2-3-1,Markel Susaeta,Match Report,W,Pablo González,1.9
18,2018-01-14,Sun,1,0.6,55,1,"20,228",Away,Espanyol,Matchweek 19,4-2-3-1,Markel Susaeta,Match Report,D,Daniel Trujillo,1.2
19,2018-01-19,Fri,2,3.9,49,2,"11,457",Away,Getafe,Matchweek 20,4-2-3-1,Markel Susaeta,Match Report,D,Jesús Gil,1.4
20,2018-01-26,Fri,1,0.6,44,1,"39,331",Home,Eibar,Matchweek 21,4-2-3-1,Markel Susaeta,Match Report,D,Mario Melero,1.3
21,2018-02-04,Sun,0,2.5,61,2,"9,602",Away,Girona,Matchweek 22,5-3-2,Ander Iturraspe,Match Report,L,José Munuera,0.4
22,2018-02-09,Fri,0,0.4,54,0,"33,679",Home,Las Palmas,Matchweek 23,4-2-3-1,Markel Susaeta,Match Report,D,Javier Estrada,0.7
23,2018-02-18,Sun,0,1.4,42,2,"60,022",Away,Atlético Madrid,Matchweek 24,4-1-4-1,Markel Susaeta,Match Report,L,José González,0.3
24,2018-02-25,Sun,2,1.7,59,1,"37,518",Home,Málaga,Matchweek 25,4-2-3-1,Markel Susaeta,Match Report,W,Alejandro Hernández,0.7
